property_type,property_subtype,living_area_m2,bedrooms,bathrooms,postal_code,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,km_from_nearby_city,is_nearby_city_prestigious,floor_number,coord_swapped,urban_density,property_age,living_area_ratio,bedroom_density,average_room_size,living_area_squared,external_area_dominance_index
House,residence,300.0,,,6760,49.5871911,5.5862953,1830.0,,0,1,1.0,,0,,2.0,0,,0,,D,Wallonia,Luxembourg,19.7,0,,False,119.9053033419213,196.0,,,,90000.0,
House,residence,220.0,4.0,2.0,4100,50.5995428,5.5165098,2015.0,Excellent,0,0,,Super equipped,0,3.0,1.0,1,,1,545.0,A,Wallonia,Liège,5.8,0,,False,1833.100313298191,11.0,0.4036697247706422,0.01818181818181818,55.0,48400.0,0.5963302752293578
Apartment,apartment,43.0,1.0,1.0,8370,51.2946419,3.1358267,,Fully renovated,0,0,,,0,,,0,,0,,B,Flanders,West Flanders,11.3,0,2.0,False,1086.780500451102,,,0.023255813953488372,43.0,1849.0,
House,villa,189.0,3.0,1.0,4053,50.5924052,5.59728354,2000.0,,0,1,1.0,,0,4.0,2.0,1,,1,1003.0,B,Wallonia,Liège,4.6,0,,False,806.1703711182848,26.0,0.18843469591226322,0.015873015873015872,63.0,35721.0,0.8115653040877367
House,bungalow,65.0,2.0,1.0,2900,51.272373,4.5196054,1936.0,,0,0,,,0,,,1,,0,269.0,F,Flanders,Antwerp,10.1,0,,False,1183.5216821342447,90.0,0.241635687732342,0.03076923076923077,32.5,4225.0,0.758364312267658
House,residence,143.0,3.0,1.0,9100,51.1614594,4.1648034,,Excellent,0,1,,Fully equipped,0,2.0,,1,119.0,1,,E,Flanders,East Flanders,1.6,0,,False,981.7482390652697,,,0.02097902097902098,47.666666666666664,20449.0,
House,residence,144.0,3.0,1.0,7540,50.6218588,3.3941758,,Normal,0,0,,Fully equipped,0,3.0,2.0,1,83.0,1,132.0,D,Wallonia,Hainaut,1.8,0,,False,320.3777275931326,,1.0909090909090908,0.020833333333333332,48.0,20736.0,-0.09090909090909083
House,villa,,2.0,1.0,8670,51.1107811,2.6635753,1978.0,To renovate,0,0,,,0,,,1,,1,,D,Flanders,West Flanders,21.8,0,,False,426.07509778363584,48.0,,,,,
House,residence,280.0,6.0,2.0,6980,50.1784748,5.6636753,2012.0,To renovate,0,1,1.0,,0,,,1,,1,750.0,C,Wallonia,Luxembourg,47.8,0,,False,27.382187011862,14.0,0.37333333333333335,0.02142857142857143,46.666666666666664,78400.0,0.6266666666666667
House,residence,210.0,2.0,,5620,50.25238755,4.67508226,,Normal,0,1,1.0,,0,,,1,,0,513.0,D,Wallonia,Namur,24.0,0,,False,84.9192109500439,,0.4093567251461988,0.009523809523809525,105.0,44100.0,0.5906432748538012
House,residence,172.0,3.0,2.0,6640,49.8826718,5.5498718,2026.0,New,0,1,,,0,3.0,1.0,1,,1,571.0,,Wallonia,Luxembourg,29.3,0,,False,46.80312876704335,0.0,0.30122591943957966,0.01744186046511628,57.333333333333336,29584.0,0.6987740805604203
